"site","RPL_THEMES","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
6075010101,0.8308,0.7258,0.5925,0.7726,0.9087
6075010102,0.7832,0.4624,0.9824,0.821,0.6822
6075010201,0.0827,0.0562,0.0534,0.4536,0.3434
6075010202,0.124,0.0458,0.0237,0.5393,0.6819
6075010300,0.2832,0.1501,0.2878,0.5805,0.5086
6075010401,0.4211,0.2081,0.2606,0.573,0.8074
6075010402,0.2776,0.1894,0.0242,0.5352,0.8684
6075010500,0.4234,0.2311,0.3468,0.6628,0.6878
6075010600,0.8493,0.7934,0.5284,0.786,0.9113
6075010701,0.9873,0.9322,0.791,0.9732,0.9961
6075010702,0.7656,0.8635,0.2402,0.8268,0.7291
6075010800,0.5305,0.5358,0.307,0.6815,0.5495
6075010901,0.1063,0.0349,0.0291,0.5655,0.5836
6075010902,0.4151,0.2506,0.2982,0.5026,0.7359
6075011001,0.2692,0.2282,0.074,0.6456,0.5696
6075011002,0.5121,0.6619,0.3293,0.618,0.3337
6075011101,0.5375,0.5216,0.2069,0.7204,0.6575
6075011102,0.7744,0.63,0.274,0.7177,0.9791
6075011200,0.4121,0.3203,0.0964,0.6118,0.7867
6075011300,0.9356,0.7863,0.8675,0.8891,0.9581
6075011700,0.9222,0.822,0.6603,0.7491,0.9847
6075011800,0.9298,0.8341,0.7101,0.9224,0.9628
6075011901,0.3489,0.1682,0.026,0.6914,0.9515
6075011902,0.6694,0.7149,0.2031,0.6731,0.7699
6075012001,0.3694,0.3254,0.0051,0.7808,0.9626
6075012002,0.8642,0.8207,0.1044,0.753,0.9987
6075012100,0.534,0.4132,0.0294,0.6815,0.9804
6075012202,0.939,0.9285,0.4822,0.7382,0.9866
6075012203,0.9674,0.9553,0.8566,0.6232,0.961
6075012204,0.7789,0.8094,0.1957,0.7369,0.8984
6075012301,0.9518,0.7765,0.7811,0.7951,0.9973
6075012302,0.8055,0.8006,0.2019,0.7084,0.9549
6075012403,0.9441,0.8282,0.7731,0.857,0.9813
6075012404,0.8771,0.788,0.4747,0.7883,0.9749
6075012405,0.625,0.4232,0.0829,0.7754,0.9831
6075012406,0.9469,0.8838,0.7068,0.7854,0.9806
6075012502,0.9892,0.9804,0.8132,0.8649,0.9881
6075012503,0.9691,0.9347,0.6956,0.853,0.9881
6075012504,0.9962,0.9633,0.8027,0.9016,0.9999
6075012601,0.0701,0.0036,0.0357,0.5116,0.5558
6075012602,0.1888,0.1276,0.045,0.3897,0.687
6075012700,0.0315,0.0523,0.0151,0.3635,0.2739
6075012801,0.2005,0.0392,0.2488,0.4348,0.5985
6075012802,0.0776,0.0048,0.01,0.4452,0.8217
6075012901,0.0955,0.0189,0.0109,0.4788,0.7943
6075012902,0.104,0.0018,0.0229,0.4117,0.8552
6075013001,0.1888,0.0398,0.0822,0.2494,0.8245
6075013002,0.075,0.009,0.0028,0.4809,0.8842
6075013101,0.3676,0.1322,0.0754,0.525,0.9496
6075013102,0.2894,0.0556,0.1089,0.5405,0.8847
6075013200,0.0633,0.0078,0.0214,0.528,0.5584
6075013300,0.4814,0.1061,0.7002,0.507,0.849
6075013401,0.273,0.0436,0.0412,0.5768,0.9553
6075013402,0.0388,0.0082,0.0133,0.3422,0.5439
6075013500,0.221,0.1101,0.035,0.4739,0.8207
6075015100,0.4505,0.0896,0.4753,0.6441,0.8824
6075015201,0.6002,0.4543,0.5534,0.5332,0.7457
6075015202,0.5045,0.3987,0.1175,0.6761,0.8411
6075015300,0.3534,0.0847,0.1908,0.5768,0.8805
6075015401,0.3194,0.262,0.0291,0.6857,0.8009
6075015402,0.0213,0.0144,0.0037,0.528,0.4119
6075015500,0.8238,0.5364,0.7892,0.7491,0.9582
6075015600,0.5282,0.3949,0.3574,0.7512,0.6757
6075015701,0.4307,0.2828,0.0503,0.7084,0.9098
6075015702,0.1218,0.0078,0.0299,0.6052,0.7581
6075015801,0.7377,0.4949,0.6084,0.7563,0.9078
6075015802,0.3931,0.3054,0.0265,0.6213,0.9212
6075015900,0.8001,0.4112,0.54,0.7931,0.9975
6075016000,0.7357,0.4844,0.505,0.7491,0.9474
6075016101,0.7838,0.5703,0.8432,0.7109,0.8298
6075016102,0.9734,0.9567,0.8621,0.8952,0.9345
6075016200,0.4209,0.1483,0.1068,0.6372,0.9506
6075016300,0.4281,0.3782,0.024,0.6213,0.9245
6075016400,0.2368,0.0857,0.0238,0.5667,0.9057
6075016500,0.438,0.3134,0.0452,0.5176,0.9457
6075016601,0.1622,0.1342,0.0348,0.4255,0.6121
6075016602,0.0356,0.009,0.0031,0.444,0.6603
6075016700,0.114,0.0305,0.0157,0.4401,0.7938
6075016801,0.2665,0.1483,0.0256,0.6136,0.8655
6075016802,0.3402,0.2372,0.027,0.6586,0.886
6075016900,0.28,0.4452,0.0115,0.5103,0.6725
6075017000,0.0339,0.0114,0.0146,0.4645,0.4051
6075017101,0.1719,0.0218,0.0463,0.4739,0.831
6075017102,0.1744,0.0858,0.0266,0.4684,0.7771
6075017602,0.7651,0.6195,0.2397,0.7947,0.974
6075017603,0.7706,0.5709,0.3501,0.807,0.9734
6075017604,0.7082,0.5464,0.1766,0.7848,0.9692
6075017700,0.5527,0.3381,0.1279,0.7557,0.9377
6075017801,0.8515,0.7796,0.7939,0.8582,0.7738
6075017803,0.6185,0.4233,0.088,0.7767,0.9771
6075017804,0.6476,0.5062,0.1003,0.7689,0.9637
6075017903,0.9283,0.9157,0.6663,0.7917,0.9297
6075018000,0.6099,0.4255,0.0584,0.783,0.9855
6075020101,0.693,0.4057,0.3055,0.7524,0.9807
6075020102,0.9034,0.7961,0.593,0.7866,0.9808
6075020201,0.6253,0.4406,0.081,0.6898,0.9862
6075020202,0.457,0.2209,0.1176,0.6579,0.9282
6075020300,0.2189,0.1303,0.0353,0.5342,0.7593
6075020401,0.075,0.1026,0.0044,0.5628,0.5559
6075020402,0.1577,0.0691,0.0179,0.5352,0.7913
6075020500,0.15,0.1212,0.0134,0.4146,0.7618
6075020601,0.3317,0.2814,0.167,0.5302,0.5694
6075020602,0.1565,0.0802,0.0794,0.4752,0.5249
6075020701,0.3638,0.2621,0.0304,0.6309,0.897
6075020702,0.3507,0.2122,0.1277,0.6372,0.7319
6075020801,0.6393,0.4859,0.1297,0.8009,0.9433
6075020802,0.6228,0.6166,0.1313,0.7055,0.8315
6075020900,0.8161,0.5941,0.6881,0.7697,0.9447
6075021000,0.4555,0.2547,0.1486,0.5477,0.9015
6075021100,0.0517,0.0408,0.0086,0.4645,0.5127
6075021200,0.1603,0.1179,0.0775,0.5528,0.4332
6075021300,0.0615,0.0415,0.0336,0.5332,0.3186
6075021400,0.1019,0.0588,0.0435,0.4502,0.4647
6075021500,0.1086,0.0265,0.0233,0.6144,0.646
6075021600,0.0916,0.0015,0.1334,0.6511,0.4056
6075021700,0.4138,0.2757,0.7392,0.6542,0.3167
6075021800,0.0784,0.0192,0.0235,0.5759,0.5423
6075022600,0.1442,0.002,0.0083,0.6761,0.9668
6075022702,0.2312,0.1861,0.0112,0.6276,0.8411
6075022704,0.0702,0.0425,0.0163,0.6333,0.4491
6075022801,0.6369,0.4088,0.2638,0.7104,0.9447
6075022802,0.7227,0.4605,0.5643,0.7129,0.9326
6075022803,0.6059,0.4142,0.2203,0.7684,0.904
6075022901,0.8091,0.6998,0.5652,0.7992,0.89
6075022902,0.6217,0.393,0.4897,0.753,0.8272
6075022903,0.1961,0.3113,0.0347,0.6949,0.3306
6075023001,0.7091,0.7819,0.3872,0.9146,0.539
6075023003,0.4923,0.6049,0.271,0.9196,0.2839
6075023102,0.9472,0.8621,0.9829,0.9432,0.7494
6075023103,0.9425,0.9779,0.87,0.9954,0.6495
6075023200,0.6251,0.5363,0.5178,0.9112,0.5662
